"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","EWG_City","PRIMACY_AGENCY_CODE","ins","del","sub"
"Westmoreland","Westmoreland","NY","New York",36065,"Oneida",43.1151,-75.4026,NA,NA,164,"polygon",FALSE,"America/New_York","13490",1840024029,"Elma","NY",8,0,1
"Sherman","Sherman","NY","New York",36013,"Chautauqua",42.159,-79.5946,689,689,304,"polygon",TRUE,"America/New_York","14781",1840004570,"Elma","NY",3,0,1
"Pelham Manor","Pelham Manor","NY","New York",36119,"Westchester",40.893,-73.8057,5643,5643,1622,"polygon",TRUE,"America/New_York","10803",1840004939,"Elma","NY",8,0,0
"Lakeland","Lakeland","NY","New York",36067,"Onondaga",43.0909,-76.2426,NA,NA,761.2,"polygon",FALSE,"America/New_York","13209",1840004316,"Elma","NY",5,1,0
"Hillside Manor","Hillside Manor","NY","New York",36059,"Nassau",40.7504,-73.6729,NA,NA,2961.3,"point",FALSE,"America/New_York","11040",1840033995,"Elma","NY",10,0,1
"Plandome Manor","Plandome Manor","NY","New York",36059,"Nassau",40.8146,-73.6979,901,901,718,"polygon",TRUE,"America/New_York","11030",1840033935,"Elma","NY",10,0,1
"Pelham","Pelham","NY","New York",36119,"Westchester",40.9116,-73.8075,7016,7016,3266,"polygon",TRUE,"America/New_York","10803",1840004938,"Elma","NY",2,0,1
"Belfast","Belfast","NY","New York",36003,"Allegany",42.3399,-78.1184,NA,NA,421.5,"polygon",FALSE,"America/New_York","14711",1840025496,"Elma","NY",3,0,1
"Elmsford","Elmsford","NY","New York",36119,"Westchester",41.0541,-73.8143,5287,5287,1977,"polygon",TRUE,"America/New_York","10523",1840004953,"Elma","NY",4,0,1
"Delanson","Delanson","NY","New York",36093,"Schenectady",42.7474,-74.1841,381,381,228,"polygon",TRUE,"America/New_York","12053",1840004449,"Elma","NY",5,1,0
"Elmira","Elmira","NY","New York",36015,"Chemung",42.0938,-76.8097,64664,27773,1478,"polygon",TRUE,"America/New_York","14901 14905 14904 14902",1840000472,"Elma","NY",2,0,0
"Germantown","Germantown","NY","New York",36021,"Columbia",42.1369,-73.8862,NA,NA,128,"polygon",FALSE,"America/New_York","12526",1840004627,"Elma","NY",6,0,1
"Elmont","Elmont","NY","New York",36059,"Nassau",40.7033,-73.7078,NA,NA,4575.1,"polygon",FALSE,"America/New_York","11003",1840005226,"Elma","NY",2,0,1
"Stella Niagara","Stella Niagara","NY","New York",36063,"Niagara",43.202,-79.0423,NA,NA,117.4,"point",FALSE,"America/Toronto","14174",1840033966,"Elma","NY",10,0,1
"Tallman","Tallman","NY","New York",36087,"Rockland",41.1112,-74.0999,NA,NA,1001.4,"point",FALSE,"America/New_York","10901",1840033969,"Elma","NY",3,0,1
"Cleveland","Cleveland","NY","New York",36075,"Oswego",43.2398,-75.8847,721,721,246,"polygon",TRUE,"America/New_York","13042",1840004198,"Elma","NY",5,0,2
"Elba","Elba","NY","New York",36037,"Genesee",43.0768,-78.1889,647,647,245,"polygon",TRUE,"America/New_York","14058",1840004370,"Elma","NY",0,0,1
"Elma Center","Elma Center","NY","New York",36029,"Erie",42.8282,-78.6343,NA,NA,156.8,"polygon",FALSE,"America/New_York","14059",1840004372,"Elma","NY",7,0,0
"Belmont","Belmont","NY","New York",36003,"Allegany",42.2226,-78.0328,920,920,356,"polygon",TRUE,"America/New_York","14813",1840004612,"Elma","NY",3,0,1
"Elmira Heights","Elmira Heights","NY","New York",36015,"Chemung",42.1267,-76.8255,3893,3893,1311,"polygon",TRUE,"America/New_York","14903",1840004692,"Elma","NY",10,0,0
"Rensselaer","Rensselaer","NY","New York",36083,"Rensselaer",42.6465,-73.7328,9264,9264,1125,"polygon",TRUE,"America/New_York","12144",1840000394,"Elma","NY",6,0,2
"Rensselaer Falls","Rensselaer Falls","NY","New York",36089,"St. Lawrence",44.5908,-75.319,311,311,413,"polygon",TRUE,"America/New_York","13680",1840004062,"Elma","NY",12,0,1
"West Elmira","West Elmira","NY","New York",36015,"Chemung",42.0879,-76.8473,NA,NA,1058.6,"polygon",FALSE,"America/New_York","14905",1840004687,"Elma","NY",7,0,0
"Clayville","Clayville","NY","New York",36065,"Oneida",42.9747,-75.249,343,343,301,"polygon",TRUE,"America/New_York","13322 13456",1840004222,"Clay","NY",5,0,0
"Clayton","Clayton","NY","New York",36045,"Jefferson",44.237,-76.0826,1875,1875,451,"polygon",TRUE,"America/New_York","13624",1840004127,"Clay","NY",3,0,0
"Sinclairville","Sinclairville","NY","New York",36013,"Chautauqua",42.2653,-79.2591,558,558,133,"polygon",TRUE,"America/New_York","14782",1840004572,"Clay","NY",9,0,1
"Clarence Center","Clarence Center","NY","New York",36029,"Erie",43.0085,-78.6308,NA,NA,761.7,"polygon",FALSE,"America/New_York","14032",1840004376,"Clay","NY",11,0,1
"Clark Mills","Clark Mills","NY","New York",36065,"Oneida",43.0895,-75.3757,NA,NA,305.6,"polygon",FALSE,"America/New_York","13321 13323 13492",1840004204,"Clay","NY",7,0,1
