"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","EWG_City","PRIMACY_AGENCY_CODE","ins","del","sub"
"Mansfield Center","Mansfield Center","CT","Connecticut",9013,"Tolland",41.7618,-72.1944,NA,NA,131,"polygon",FALSE,"America/New_York","06250",1840003273,"Mansfield","CT",7,0,0
"West Simsbury","West Simsbury","CT","Connecticut",9003,"Hartford",41.8748,-72.8448,NA,NA,148.8,"polygon",FALSE,"America/New_York","06092 06070",1840003270,"Simsbury","CT",5,0,0
"South Windham","South Windham","CT","Connecticut",9015,"Windham",41.6849,-72.1845,NA,NA,247.4,"polygon",FALSE,"America/New_York","06226 06266",1840003281,"Windham","CT",6,0,0
"Rehoboth Beach","Rehoboth Beach","DE","Delaware",10005,"Sussex",38.7171,-75.0845,1496,1496,491,"polygon",TRUE,"America/New_York","19971",1840006070,"Rehoboth","DE",6,0,0
"De Funiak Springs","De Funiak Springs","FL","Florida",12131,"Walton",30.7122,-86.1208,7232,6442,179,"polygon",TRUE,"America/Chicago","32433 32435",1840015011,"Defuniak Springs","FL",1,0,0
"Bayport","Bayport","FL","Florida",12053,"Hernando",28.547,-82.6456,NA,NA,48.3,"polygon",FALSE,"America/New_York","34607",1840014104,"Mayport","FL",0,0,1
"Saint Augustine South","Saint Augustine South","FL","Florida",12109,"St. Johns",29.8449,-81.3156,NA,NA,1636.7,"polygon",FALSE,"America/New_York","32086",1840029110,"St. Augustine","FL",8,0,2
"Saint Augustine","Saint Augustine","FL","Florida",12109,"St. Johns",29.8979,-81.31,75932,14243,583,"polygon",TRUE,"America/New_York","32080 32095 32084",1840015935,"St. Augustine","FL",2,0,2
"Saint Augustine Shores","Saint Augustine Shores","FL","Florida",12109,"St. Johns",29.8039,-81.3086,NA,NA,1615,"polygon",FALSE,"America/New_York","32086",1840013972,"St. Augustine","FL",9,0,2
"Saint Augustine Beach","Saint Augustine Beach","FL","Florida",12109,"St. Johns",29.8413,-81.2713,6998,6998,1275,"polygon",TRUE,"America/New_York","32080",1840015936,"St. Augustine","FL",8,0,2
"Ponte Vedra Beach","Ponte Vedra Beach","FL","Florida",12109,"St. Johns",30.2397,-81.3856,NA,NA,1102.5,"point",FALSE,"America/New_York","32082",1840028957,"Ponte Vedra","FL",6,0,0
"South Ponte Vedra Beach","South Ponte Vedra Beach","FL","Florida",12109,"St. Johns",30.0225,-81.3237,NA,NA,161.4,"point",FALSE,"America/New_York","32082",1840028960,"Ponte Vedra","FL",12,0,0
"Saint Cloud","Saint Cloud","FL","Florida",12097,"Osceola",28.2303,-81.2849,51282,51282,1035,"polygon",TRUE,"America/New_York","34769 34771 34772",1840015971,"St Cloud","FL",3,0,0
"Goodland","Goodland","FL","Florida",12021,"Collier",25.9252,-81.648,NA,NA,858.9,"polygon",FALSE,"America/New_York","34140",1840014229,"Deland","FL",2,0,2
"Lakeland","Lakeland","FL","Florida",12105,"Polk",28.0557,-81.9543,291281,108054,633,"polygon",TRUE,"America/New_York","33803 33801 33805 33815 33811 33813 33802 33804 33806",1840015108,"Deland","FL",2,0,1
"Copeland","Copeland","FL","Florida",12021,"Collier",25.9537,-81.3559,NA,NA,0.5,"point",FALSE,"America/New_York","34141",1840023564,"Deland","FL",2,0,1
"Marineland","Marineland","FL","Florida",12035,"Flagler",29.6648,-81.2138,17,17,24,"polygon",TRUE,"America/New_York","32137",1840017221,"Deland","FL",4,0,1
"DeLand","DeLand","FL","Florida",12127,"Volusia",29.0226,-81.2875,32506,32506,673,"polygon",TRUE,"America/New_York","32724 32720 32721",1840015071,"Deland","FL",0,0,0
"West DeLand","West DeLand","FL","Florida",12127,"Volusia",29.0162,-81.3343,NA,NA,1004.1,"polygon",FALSE,"America/New_York","32720",1840029095,"Deland","FL",5,0,0
"Groveland","Groveland","FL","Florida",12069,"Lake",28.602,-81.8204,13474,13474,324,"polygon",TRUE,"America/New_York","34736 34737",1840014056,"Deland","FL",3,0,1
"Cleveland","Cleveland","FL","Florida",12015,"Charlotte",26.9529,-81.9924,NA,NA,247.8,"polygon",FALSE,"America/New_York","33982",1840013128,"Deland","FL",3,0,1
"North DeLand","North DeLand","FL","Florida",12127,"Volusia",29.0483,-81.2965,NA,NA,1062.8,"polygon",FALSE,"America/New_York","32724",1840029059,"Deland","FL",6,0,0
"Roseland","Roseland","FL","Florida",12061,"Indian River",27.8361,-80.4884,NA,NA,530.8,"polygon",FALSE,"America/New_York","32958 32957",1840014164,"Deland","FL",2,0,1
"Pineland","Pineland","FL","Florida",12071,"Lee",26.6642,-82.1477,NA,NA,157.9,"polygon",FALSE,"America/New_York","33922",1840014224,"Deland","FL",2,0,1
"Homeland","Homeland","FL","Florida",12105,"Polk",27.8182,-81.8269,NA,NA,122.8,"polygon",FALSE,"America/New_York","33847 33830",1840025157,"Deland","FL",2,0,1
"Lakeland Highlands","Lakeland Highlands","FL","Florida",12105,"Polk",27.9572,-81.9496,NA,NA,885.7,"polygon",FALSE,"America/New_York","33813",1840029047,"Deland","FL",12,0,1
"North Lauderdale","North Lauderdale","FL","Florida",12011,"Broward",26.2113,-80.2209,44198,44198,3722,"polygon",TRUE,"America/New_York","33068",1840015138,"Ft Lauderdale","FL",3,0,1
"Fort Lauderdale","Fort Lauderdale","FL","Florida",12011,"Broward",26.1412,-80.1464,180072,180072,2009,"polygon",TRUE,"America/New_York","33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394",1840014236,"Ft Lauderdale","FL",2,0,0
"Opa-locka","Opa-locka","FL","Florida",12086,"Miami-Dade",25.8997,-80.2551,16479,16479,1478,"polygon",TRUE,"America/New_York","33054",1840015156,"Opa Locka","FL",0,0,1
"Saint James City","Saint James City","FL","Florida",12071,"Lee",26.5507,-82.098,NA,NA,703.4,"polygon",FALSE,"America/New_York","33956",1840014211,"St James City","FL",3,0,0
"Port Wentworth","Port Wentworth","GA","Georgia",13051,"Chatham",32.1942,-81.1984,8534,8534,202,"polygon",TRUE,"America/New_York","31407",1840014915,"Port Wenworth","GA",1,0,0
"Warner Robins","Warner Robins","GA","Georgia",13153,"Houston",32.598,-83.6528,149617,74854,800,"polygon",TRUE,"America/New_York","31088 31005 31093 31099",1840015800,"Warner Robbins","GA",0,1,0
"La Grange","La Grange","GA","Georgia",13285,"Troup",33.0276,-85.0383,35918,30472,279,"polygon",TRUE,"America/New_York","30240 30241",1840029147,"Lagrange","GA",1,0,0
"LaFayette","LaFayette","GA","Georgia",13295,"Walker",34.7089,-85.2814,7444,7198,343,"polygon",TRUE,"America/New_York","30728",1840014656,"Lafayette","GA",0,0,0
"Waikoloa Village","Waikoloa Village","HI","Hawaii",15001,"Hawaii",19.9285,-155.8185,NA,NA,6.7,"polygon",FALSE,"Pacific/Honolulu","96738",1840029587,"Waikoloa","HI",8,0,0
"Lihu<U+02BB>e","Lihue","HI","Hawaii",15007,"Kauai",21.9728,-159.3541,NA,NA,1959.8,"polygon",FALSE,"Pacific/Honolulu","96766",1840029519,"Lihue","HI",0,0,0
"Coeur d'Alene","Coeur d'Alene","ID","Idaho",16055,"Kootenai",47.7039,-116.7933,112935,50665,1230,"polygon",TRUE,"America/Los_Angeles","83815 83814 83816",1840018402,"Coeur D Alene","ID",0,0,1
"La Grange Park","La Grange Park","IL","Illinois",17031,"Cook",41.8308,-87.8723,13433,13433,2324,"polygon",TRUE,"America/Chicago","60526",1840011256,"Lagrange Park","IL",1,0,0
"Morton Grove","Morton Grove","IL","Illinois",17031,"Cook",42.0423,-87.789,23142,23142,1756,"polygon",TRUE,"America/Chicago","60053",1840011299,"Norton Grove","IL",0,0,1
"Mount Prospect","Mount Prospect","IL","Illinois",17031,"Cook",42.0653,-87.937,53930,53930,2012,"polygon",TRUE,"America/Chicago","60056",1840011300,"Mt Prospect","IL",3,0,0
"DeKalb","DeKalb","IL","Illinois",17037,"DeKalb",41.9312,-88.7483,67500,43193,1038,"polygon",TRUE,"America/Chicago","60115",1840007033,"Dekalb","IL",0,0,0
"Mount Vernon","Mount Vernon","IL","Illinois",17081,"Jefferson",38.3141,-88.9176,15672,14956,394,"polygon",TRUE,"America/Chicago","62864",1840008654,"Mt Vernon","IL",3,0,0
"Saint Charles","Saint Charles","IL","Illinois",17089,"Kane",41.9193,-88.311,32714,32714,861,"polygon",TRUE,"America/Chicago","60175 60174",1840009190,"St Charles","IL",3,0,0
"Lake in the Hills","Lake in the Hills","IL","Illinois",17111,"McHenry",42.1913,-88.3478,28936,28936,1078,"polygon",TRUE,"America/Chicago","60156",1840011129,"Lake In The Hills","IL",0,0,0
"McHenry","McHenry","IL","Illinois",17111,"McHenry",42.3388,-88.2931,26911,26911,711,"polygon",TRUE,"America/Chicago","60050",1840008085,"Mchenry","IL",0,0,0
"O'Fallon","O'Fallon","IL","Illinois",17163,"St. Clair",38.5976,-89.9156,29272,29272,738,"polygon",TRUE,"America/Chicago","62269",1840008632,"O'fallon","IL",0,0,0
"LaPorte","LaPorte","IN","Indiana",18091,"LaPorte",41.6077,-86.7137,21681,21681,717,"polygon",TRUE,"America/Chicago","46350 46352",1840030063,"Laporte","IN",0,0,0
"McPherson","McPherson","KS","Kansas",20113,"McPherson",38.3714,-97.6606,13128,13201,686,"polygon",TRUE,"America/Chicago","67460",1840001659,"Mcpherson","KS",0,0,0
"Old Washington","Old Washington","KY","Kentucky",21161,"Mason",38.6159,-83.8085,NA,NA,336.5,"point",FALSE,"America/New_York","41056",1840030788,"Mt Washington","KY",1,0,2
"Mount Washington","Mount Washington","KY","Kentucky",21029,"Bullitt",38.0429,-85.555,14554,14554,617,"polygon",TRUE,"America/New_York","40047",1840014322,"Mt Washington","KY",3,0,0
"Spottsville","Spottsville","KY","Kentucky",21101,"Henderson",37.8564,-87.4167,NA,NA,193.6,"polygon",FALSE,"America/Chicago","42458",1840026803,"Knottsville","KY",0,0,2
"Scottsville","Scottsville","KY","Kentucky",21003,"Allen",36.7493,-86.1966,4473,4447,301,"polygon",TRUE,"America/Chicago","42164",1840015271,"Knottsville","KY",0,0,2
"Cornettsville","Cornettsville","KY","Kentucky",21193,"Perry",37.134,-83.0768,NA,NA,19.1,"point",FALSE,"America/New_York","41731",1840030415,"Knottsville","KY",2,0,2
"McDowell","McDowell","KY","Kentucky",21071,"Floyd",37.459,-82.734,NA,NA,114.2,"polygon",FALSE,"America/New_York","41647",1840030513,"Mcdowell","KY",0,0,0
"Fort Thomas","Fort Thomas","KY","Kentucky",21037,"Campbell",39.0804,-84.4497,16263,16263,1107,"polygon",TRUE,"America/New_York","41075",1840013163,"Ft Thomas","KY",2,0,0
"Mount Sterling","Mount Sterling","KY","Kentucky",21173,"Montgomery",38.0647,-83.9473,11328,7209,630,"polygon",TRUE,"America/New_York","40353",1840014319,"Mt Sterling","KY",3,0,0
"Mount Vernon","Mount Vernon","KY","Kentucky",21203,"Rockcastle",37.3578,-84.343,2593,2446,459,"polygon",TRUE,"America/New_York","40456",1840014371,"Mt Vernon","KY",3,0,0
"DeRidder","DeRidder","LA","Louisiana",22011,"Beauregard",30.8467,-93.2931,13617,10797,451,"polygon",TRUE,"America/Chicago","70634",1840015013,"Deridder","LA",0,0,0
"Denham Springs","Denham Springs","LA","Louisiana",22063,"Livingston",30.4743,-90.9594,9834,9834,520,"polygon",TRUE,"America/Chicago","70726",1840015027,"Denhams Springs","LA",0,1,0
"North Amherst","North Amherst","MA","Massachusetts",25015,"Hampshire",42.4073,-72.5227,NA,NA,787,"polygon",FALSE,"America/New_York","01002 01003 01059",1840004580,"Amherst","MA",6,0,0
"South Amherst","South Amherst","MA","Massachusetts",25015,"Hampshire",42.3389,-72.5195,NA,NA,171.7,"polygon",FALSE,"America/New_York","01002",1840004581,"Amherst","MA",6,0,0
"Amherst Center","Amherst Center","MA","Massachusetts",25015,"Hampshire",42.3757,-72.5188,NA,NA,2086.4,"polygon",FALSE,"America/New_York","01002 01003 01004",1840003166,"Amherst","MA",7,0,0
"South Acton","South Acton","MA","Massachusetts",25017,"Middlesex",42.4584,-71.4537,NA,NA,514.6,"point",FALSE,"America/New_York","01720",1840031175,"Acton","MA",6,0,0
"West Acton","West Acton","MA","Massachusetts",25017,"Middlesex",42.4751,-71.4745,NA,NA,704.3,"point",FALSE,"America/New_York","01720",1840031177,"Acton","MA",5,0,0
"Housatonic","Housatonic","MA","Massachusetts",25003,"Berkshire",42.2487,-73.3626,NA,NA,593,"polygon",FALSE,"America/New_York","01230 01236",1840003119,"Acton","MA",5,0,2
"West Medway","West Medway","MA","Massachusetts",25021,"Norfolk",42.1418,-71.4245,NA,NA,767.1,"point",FALSE,"America/New_York","02053",1840031180,"Medway","MA",5,0,0
"Sturbridge","Sturbridge","MA","Massachusetts",25027,"Worcester",42.1001,-72.0635,NA,NA,164.7,"polygon",FALSE,"America/New_York","01566",1840004534,"Uxbridge","MA",2,0,1
"Medford","Medford","MA","Massachusetts",25017,"Middlesex",42.4234,-71.1087,57797,57797,2755,"polygon",TRUE,"America/New_York","02155 02153 02156",1840000431,"Bedford","MA",0,0,1
"New Bedford","New Bedford","MA","Massachusetts",25005,"Bristol",41.6697,-70.9428,149528,95120,1836,"polygon",TRUE,"America/New_York","02740 02744 02745 02746 02741 02742",1840003219,"Bedford","MA",4,0,0
"North Billerica","North Billerica","MA","Massachusetts",25017,"Middlesex",42.5834,-71.2845,NA,NA,1521.9,"point",FALSE,"America/New_York","01862",1840031181,"Billerica","MA",6,0,0
"North Chelmsford","North Chelmsford","MA","Massachusetts",25017,"Middlesex",42.639,-71.3828,NA,NA,1704.1,"point",FALSE,"America/New_York","01863",1840031171,"Chelmsford","MA",6,0,0
"South Chelmsford","South Chelmsford","MA","Massachusetts",25017,"Middlesex",42.5709,-71.3759,NA,NA,376.7,"point",FALSE,"America/New_York","01824",1840031164,"Chelmsford","MA",6,0,0
"West Concord","West Concord","MA","Massachusetts",25017,"Middlesex",42.4518,-71.4035,NA,NA,2431.7,"polygon",FALSE,"America/New_York","01742",1840003133,"Concord","MA",5,0,0
"Teaticket","Teaticket","MA","Massachusetts",25001,"Barnstable",41.5624,-70.5858,NA,NA,371.9,"polygon",FALSE,"America/New_York","02536",1840004767,"Natick","MA",3,0,1
"North Hanover","North Hanover","MA","Massachusetts",25023,"Plymouth",42.1459,-70.8675,NA,NA,704.7,"point",FALSE,"America/New_York","02339",1840031215,"North Andover","MA",1,1,0
"North Sudbury","North Sudbury","MA","Massachusetts",25017,"Middlesex",42.4093,-71.4045,NA,NA,215.8,"point",FALSE,"America/New_York","01776",1840031172,"Sudbury","MA",6,0,0
"North Tewksbury","North Tewksbury","MA","Massachusetts",25017,"Middlesex",42.6345,-71.2459,NA,NA,168.1,"point",FALSE,"America/New_York","01876",1840031196,"Tewksbury","MA",6,0,0
"South Dartmouth","South Dartmouth","MA","Massachusetts",25005,"Bristol",41.5918,-70.9411,NA,NA,1106.2,"point",FALSE,"America/New_York","02748",1840031239,"Dartmouth","MA",6,0,0
"Gleasondale","Gleasondale","MA","Massachusetts",25017,"Middlesex",42.4062,-71.5267,NA,NA,77.1,"point",FALSE,"America/New_York","01775",1840031161,"Easton","MA",6,1,0
"West Hanover","West Hanover","MA","Massachusetts",25023,"Plymouth",42.1195,-70.8828,NA,NA,594.2,"point",FALSE,"America/New_York","02339",1840031207,"Hanover","MA",5,0,0
"Hanover Center","Hanover Center","MA","Massachusetts",25023,"Plymouth",42.1168,-70.8412,NA,NA,207.6,"point",FALSE,"America/New_York","02339",1840031217,"Hanover","MA",7,0,0
"North Hanover","North Hanover","MA","Massachusetts",25023,"Plymouth",42.1459,-70.8675,NA,NA,704.7,"point",FALSE,"America/New_York","02339",1840031215,"Hanover","MA",6,0,0
"Harwich Port","Harwich Port","MA","Massachusetts",25001,"Barnstable",41.6723,-70.064,NA,NA,241.8,"polygon",FALSE,"America/New_York","02645 02646",1840003242,"Harwich","MA",5,0,0
"East Harwich","East Harwich","MA","Massachusetts",25001,"Barnstable",41.7081,-70.0339,NA,NA,223.8,"polygon",FALSE,"America/New_York","02645 02661",1840003238,"Harwich","MA",5,0,0
"Mashpee Neck","Mashpee Neck","MA","Massachusetts",25001,"Barnstable",41.6118,-70.4667,NA,NA,441.9,"polygon",FALSE,"America/New_York","02649",1840031246,"Mashpee","MA",5,0,0
"North Pembroke","North Pembroke","MA","Massachusetts",25023,"Plymouth",42.0989,-70.7823,NA,NA,241.9,"polygon",FALSE,"America/New_York","02359 02358",1840004678,"Pembroke","MA",6,0,0
"North Seekonk","North Seekonk","MA","Massachusetts",25005,"Bristol",41.8882,-71.3297,NA,NA,742.1,"polygon",FALSE,"America/New_York","02771",1840031243,"Seekonk","MA",6,0,0
"Salisbury","Salisbury","MA","Massachusetts",25009,"Essex",42.8334,-70.8416,NA,NA,600,"polygon",FALSE,"America/New_York","01952",1840004464,"Tisbury","MA",2,0,1
"West Wareham","West Wareham","MA","Massachusetts",25023,"Plymouth",41.79,-70.755,NA,NA,304.3,"polygon",FALSE,"America/New_York","02576",1840003202,"Wareham","MA",5,0,0
"Wareham Center","Wareham Center","MA","Massachusetts",25023,"Plymouth",41.7511,-70.7198,NA,NA,80.6,"polygon",FALSE,"America/New_York","02571",1840031229,"Wareham","MA",7,0,0
"Havre de Grace","Havre de Grace","MD","Maryland",24025,"Harford",39.5481,-76.1145,13576,13576,896,"polygon",TRUE,"America/New_York","21078",1840005667,"Havre De Grace","MD",0,0,0
"West Forks","West Forks","ME","Maine",23025,"Somerset",45.397,-70.0362,NA,NA,1,"point",FALSE,"America/New_York","04945",1840031552,"York","ME",6,0,1
"York Harbor","York Harbor","ME","Maine",23031,"York",43.1435,-70.649,NA,NA,641.3,"polygon",FALSE,"America/New_York","03909 03911",1840002677,"York","ME",7,0,0
"Manton","Manton","MI","Michigan",26165,"Wexford",44.4115,-85.401,1462,1462,361,"polygon",TRUE,"America/Detroit","49663",1840002513,"Canton","MI",0,0,1
"Stanton","Stanton","MI","Michigan",26117,"Montcalm",43.2928,-85.0789,1428,1428,256,"polygon",TRUE,"America/Detroit","48888",1840002875,"Canton","MI",1,0,1
"Lakeview","Lakeview","MI","Michigan",26117,"Montcalm",43.4434,-85.2738,1005,1005,262,"polygon",TRUE,"America/Detroit","48850",1840010990,"Erie","MI",4,0,1
"Wolverine Lake","Wolverine Lake","MI","Michigan",26125,"Oakland",42.555,-83.4883,4641,4641,1420,"polygon",TRUE,"America/Detroit","48390",1840011061,"Erie","MI",10,0,0
"Harrietta","Harrietta","MI","Michigan",26165,"Wexford",44.3091,-85.7007,145,145,56,"polygon",TRUE,"America/Detroit","49638",1840010941,"Erie","MI",5,0,1
"Wolverine","Wolverine","MI","Michigan",26031,"Cheboygan",45.2732,-84.6052,235,235,92,"polygon",TRUE,"America/Detroit","49799",1840010919,"Erie","MI",5,0,0
"Hesperia","Hesperia","MI","Michigan",26127,"Oceana",43.5691,-86.0407,936,936,445,"polygon",TRUE,"America/Detroit","49421",1840010968,"Erie","MI",4,0,1
"Commerce","Commerce","MI","Michigan",26125,"Oakland",42.5911,-83.4908,NA,NA,1054.2,"point",FALSE,"America/Detroit","48382",1840031584,"Erie","MI",4,0,1
"Deerfield","Deerfield","MI","Michigan",26091,"Lenawee",41.8901,-83.7789,865,865,352,"polygon",TRUE,"America/Detroit","49238",1840011373,"Erie","MI",5,0,0
"Traverse City","Traverse City","MI","Michigan",26055,"Grand Traverse",44.7547,-85.6035,49806,15515,718,"polygon",TRUE,"America/Detroit","49686 49684 49696",1840003946,"Erie","MI",9,0,1
"Sheridan","Sheridan","MI","Michigan",26117,"Montcalm",43.2086,-85.0739,649,649,227,"polygon",TRUE,"America/Detroit","48884",1840010995,"Erie","MI",4,0,1
"Sault Sainte Marie","Sault Sainte Marie","MI","Michigan",26033,"Chippewa",46.4817,-84.3723,12637,13631,356,"polygon",TRUE,"America/Detroit","49783",1840003938,"Erie","MI",14,0,0
"Levering","Levering","MI","Michigan",26047,"Emmet",45.6348,-84.7837,NA,NA,182.9,"polygon",FALSE,"America/Detroit","49755",1840025186,"Erie","MI",4,0,1
"Berrien Springs","Berrien Springs","MI","Michigan",26021,"Berrien",41.9474,-86.3402,7125,1743,728,"polygon",TRUE,"America/Detroit","49103",1840011224,"Erie","MI",11,0,0
"Frederic","Frederic","MI","Michigan",26039,"Crawford",44.7786,-84.7545,NA,NA,279.5,"point",FALSE,"America/Detroit","49733",1840031603,"Erie","MI",4,0,1
"Wakefield","Wakefield","MI","Michigan",26053,"Gogebic",46.4767,-89.9336,1699,1699,83,"polygon",TRUE,"America/Menominee","49968",1840001940,"Erie","MI",5,0,1
"Riverview","Riverview","MI","Michigan",26163,"Wayne",42.1728,-83.1935,12107,12107,1063,"polygon",TRUE,"America/Detroit","48193",1840003961,"Erie","MI",5,0,0
"Hersey","Hersey","MI","Michigan",26133,"Osceola",43.8513,-85.4419,349,349,122,"polygon",TRUE,"America/Detroit","49639",1840010951,"Erie","MI",2,0,1
"Mount Pleasant","Mount Pleasant","MI","Michigan",26073,"Isabella",43.5966,-84.7759,37206,25847,1292,"polygon",TRUE,"America/Detroit","48858 48859",1840002663,"Mt. Pleasant","MI",2,0,2
"Saint Clair Shores","Saint Clair Shores","MI","Michigan",26099,"Macomb",42.4921,-82.8957,59635,59635,1972,"polygon",TRUE,"America/Detroit","48081 48080 48082 48090",1840003093,"St. Clair Shores","MI",2,0,2
"Saint Louis Park","Saint Louis Park","MN","Minnesota",27053,"Hennepin",44.9488,-93.3649,49029,49029,1782,"polygon",TRUE,"America/Chicago","55426 55416",1840008935,"St. Louis Park","MN",2,0,2
"White Bear Lake","White Bear Lake","MN","Minnesota",27123,"Ramsey",45.0655,-93.0149,25888,25888,1237,"polygon",TRUE,"America/Chicago","55110",1840010005,"White Bear","MN",5,0,0
"White Earth","White Earth","MN","Minnesota",27005,"Becker",47.0977,-95.8445,NA,NA,81.7,"polygon",FALSE,"America/Chicago","56591 56589 56569",1840006630,"White Bear","MN",2,1,0
"White Bear Beach","White Bear Beach","MN","Minnesota",27123,"Ramsey",45.0997,-92.9891,NA,NA,769.7,"point",FALSE,"America/Chicago","55110",1840031919,"White Bear","MN",6,0,0
"Saint Joseph","Saint Joseph","MO","Missouri",29021,"Buchanan",39.7598,-94.821,80818,76442,670,"polygon",TRUE,"America/Chicago","64503 64501 64506 64507 64504 64505 64502 64508",1840009549,"St Joseph","MO",3,0,0
"O'Fallon","O'Fallon","MO","Missouri",29183,"St. Charles",38.7851,-90.7176,87597,87597,1141,"polygon",TRUE,"America/Chicago","63367 63366 63368",1840008571,"Ofallon","MO",1,0,0
"Saint Charles","Saint Charles","MO","Missouri",29183,"St. Charles",38.7958,-90.5159,70329,70329,1127,"polygon",TRUE,"America/Chicago","63301 63303 63302",1840009719,"St Charles","MO",3,0,0
"Saint Louis","Saint Louis","MO","Missouri",29510,"St. Louis (city)",38.6358,-90.2451,2078283,308626,1923,"polygon",TRUE,"America/Chicago","63110 63111 63112 63113 63115 63116 63118 63120 63107 63106 63104 63103 63102 63101 63109 63108 63155 63139 63137 63143 63147 63150 63156 63157 63158 63160 63163 63164 63166 63169 63177 63178 63179 63180 63182 63188 63197",1840001651,"St Louis","MO",3,0,0
"Lake Saint Louis","Lake Saint Louis","MO","Missouri",29183,"St. Charles",38.7848,-90.7873,15936,15936,739,"polygon",TRUE,"America/Chicago","63367",1840008572,"St Louis","MO",8,0,0
